Ticker,Sector_Wikipedia,Sector_Yahoo
A,Health_Care,Information_Technology
AAP,Consumer_Discretionary,Consumer_Discretionary
AAPL,Information_Technology,Information_Technology
ABBV,Health_Care,Health_Care
ABC,Health_Care,Health_Care
ABMD,Health_Care,Health_Care
ABT,Health_Care,Health_Care
ACN,Information_Technology,Information_Technology
ADBE,Information_Technology,Information_Technology
ADI,Information_Technology,Information_Technology
ADM,Consumer_Staples,Consumer_Staples
ADP,Information_Technology,Information_Technology
ADS,Information_Technology,Information_Technology
ADSK,Information_Technology,Information_Technology
AEE,Utilities,Utilities
AEP,Utilities,Utilities
AES,Utilities,Utilities
AFL,Financials,Financials
AIG,Financials,Financials
AIV,Real_Estate,Financials
AIZ,Financials,Financials
AJG,Financials,Financials
AKAM,Information_Technology,Information_Technology
ALB,Materials,Materials
ALGN,Health_Care,Health_Care
ALK,Industrials,Industrials
ALL,Financials,Financials
ALLE,Industrials,Industrials
ALXN,Health_Care,Health_Care
AMAT,Information_Technology,Information_Technology
AMD,Information_Technology,Information_Technology
AME,Industrials,Industrials
AMG,Financials,Financials
AMGN,Health_Care,Health_Care
AMP,Financials,Financials
AMT,Real_Estate,Telecommunications_Services
AMZN,Consumer_Discretionary,Consumer_Discretionary
ANSS,Information_Technology,Information_Technology
AON,Financials,Financials
AOS,Industrials,Industrials
APA,Energy,Energy
APD,Materials,Materials
APH,Information_Technology,Information_Technology
ARE,Real_Estate,Financials
ATO,Utilities,Utilities
AVB,Real_Estate,Financials
AVGO,Information_Technology,Information_Technology
AVY,Materials,Industrials
AXP,Financials,Financials
AZO,Consumer_Discretionary,Consumer_Discretionary
BA,Industrials,Industrials
BAC,Financials,Financials
BAX,Health_Care,Health_Care
BBT,Financials,Financials
BBY,Consumer_Discretionary,Consumer_Discretionary
BDX,Health_Care,Health_Care
BEN,Financials,Financials
BIIB,Health_Care,Health_Care
BK,Financials,Financials
BLK,Financials,Financials
BLL,Materials,Materials
BMY,Health_Care,Health_Care
BR,Information_Technology,Information_Technology
BSX,Health_Care,Health_Care
BWA,Consumer_Discretionary,Consumer_Discretionary
BXP,Real_Estate,Financials
C,Financials,Financials
CAG,Consumer_Staples,Consumer_Staples
CAH,Health_Care,Health_Care
CAT,Industrials,Industrials
CB,Financials,Financials
CBOE,Financials,Financials
CBS,Communication_Services,Consumer_Discretionary
CCI,Real_Estate,Telecommunications_Services
CCL,Consumer_Discretionary,Consumer_Discretionary
CDNS,Information_Technology,Information_Technology
CERN,Health_Care,Health_Care
CF,Materials,Materials
CHD,Consumer_Staples,Consumer_Staples
CHRW,Industrials,Industrials
CI,Health_Care,Health_Care
CINF,Financials,Financials
CL,Consumer_Staples,Consumer_Staples
CLX,Consumer_Staples,Consumer_Staples
CMA,Financials,Financials
CMCSA,Communication_Services,Consumer_Discretionary
CME,Financials,Financials
CMG,Consumer_Discretionary,Consumer_Discretionary
CMI,Industrials,Industrials
CMS,Utilities,Utilities
CNC,Health_Care,Health_Care
CNP,Utilities,Utilities
COF,Financials,Financials
COG,Energy,Energy
COO,Health_Care,Health_Care
COP,Energy,Energy
COST,Consumer_Staples,Consumer_Staples
CPB,Consumer_Staples,Consumer_Staples
CPRT,Industrials,Industrials
CRM,Information_Technology,Information_Technology
CSCO,Information_Technology,Information_Technology
CSX,Industrials,Industrials
CTAS,Industrials,Industrials
CTL,Communication_Services,Telecommunications_Services
CTSH,Information_Technology,Information_Technology
CTXS,Information_Technology,Information_Technology
CVS,Health_Care,Consumer_Staples
CVX,Energy,Energy
D,Utilities,Utilities
DAL,Industrials,Industrials
DD,Materials,Materials
DE,Industrials,Industrials
DFS,Financials,Financials
DG,Consumer_Discretionary,Consumer_Discretionary
DGX,Health_Care,Health_Care
DHI,Consumer_Discretionary,Consumer_Discretionary
DHR,Health_Care,Industrials
DIS,Communication_Services,Consumer_Discretionary
DLTR,Consumer_Discretionary,Consumer_Discretionary
DOV,Industrials,Industrials
DOW,Materials,Materials
DRE,Real_Estate,Financials
DRI,Consumer_Discretionary,Consumer_Discretionary
DTE,Utilities,Utilities
DUK,Utilities,Utilities
DVA,Health_Care,Health_Care
DVN,Energy,Energy
EA,Communication_Services,Information_Technology
EBAY,Consumer_Discretionary,Information_Technology
ECL,Materials,Materials
ED,Utilities,Utilities
EFX,Industrials,Industrials
EIX,Utilities,Utilities
EL,Consumer_Staples,Consumer_Staples
EMN,Materials,Materials
EMR,Industrials,Industrials
EOG,Energy,Energy
EQIX,Real_Estate,Information_Technology
EQR,Real_Estate,Financials
ESS,Real_Estate,Financials
ETFC,Financials,Financials
ETN,Industrials,Industrials
ETR,Utilities,Utilities
EW,Health_Care,Health_Care
EXC,Utilities,Utilities
EXPD,Industrials,Industrials
EXPE,Consumer_Discretionary,Consumer_Discretionary
EXR,Real_Estate,Financials
F,Consumer_Discretionary,Consumer_Discretionary
FAST,Industrials,Industrials
FB,Communication_Services,Information_Technology
FBHS,Industrials,Industrials
FCX,Materials,Materials
FDX,Industrials,Industrials
FE,Utilities,Utilities
FFIV,Information_Technology,Information_Technology
FIS,Information_Technology,Information_Technology
FISV,Information_Technology,Information_Technology
FITB,Financials,Financials
FLIR,Information_Technology,Information_Technology
FLS,Industrials,Industrials
FMC,Materials,Materials
FOXA,Communication_Services,Consumer_Discretionary
FRT,Real_Estate,Financials
FTI,Energy,Energy
FTNT,Information_Technology,Information_Technology
GD,Industrials,Industrials
GE,Industrials,Industrials
GILD,Health_Care,Health_Care
GIS,Consumer_Staples,Consumer_Staples
GLW,Information_Technology,Information_Technology
GM,Consumer_Discretionary,Consumer_Discretionary
GOOG,Communication_Services,Information_Technology
GPC,Consumer_Discretionary,Consumer_Discretionary
GPN,Information_Technology,Information_Technology
GPS,Consumer_Discretionary,Consumer_Discretionary
GRMN,Consumer_Discretionary,Consumer_Discretionary
GS,Financials,Financials
GWW,Industrials,Industrials
HAL,Energy,Energy
HAS,Consumer_Discretionary,Consumer_Discretionary
HBAN,Financials,Financials
HBI,Consumer_Discretionary,Consumer_Discretionary
HD,Consumer_Discretionary,Consumer_Discretionary
HES,Energy,Energy
HFC,Energy,Energy
HIG,Financials,Financials
HII,Industrials,Industrials
HOG,Consumer_Discretionary,Consumer_Discretionary
HOLX,Health_Care,Health_Care
HON,Industrials,Industrials
HP,Energy,Energy
HPQ,Information_Technology,Information_Technology
HRB,Consumer_Discretionary,Consumer_Discretionary
HRL,Consumer_Staples,Consumer_Staples
HSIC,Health_Care,Health_Care
HST,Real_Estate,Financials
HSY,Consumer_Staples,Consumer_Staples
HUM,Health_Care,Health_Care
IBM,Information_Technology,Information_Technology
ICE,Financials,Financials
IDXX,Health_Care,Health_Care
IEX,Industrials,Industrials
IFF,Materials,Materials
INTC,Information_Technology,Information_Technology
INTU,Information_Technology,Information_Technology
IP,Materials,Materials
IPG,Communication_Services,Consumer_Discretionary
IR,Industrials,Industrials
IRM,Real_Estate,Industrials
ISRG,Health_Care,Health_Care
IT,Information_Technology,Information_Technology
ITW,Industrials,Industrials
IVZ,Financials,Financials
JBHT,Industrials,Industrials
JCI,Industrials,Consumer_Discretionary
JEC,Industrials,Industrials
JKHY,Information_Technology,Information_Technology
JNJ,Health_Care,Health_Care
JNPR,Information_Technology,Information_Technology
JPM,Financials,Financials
JWN,Consumer_Discretionary,Consumer_Discretionary
K,Consumer_Staples,Consumer_Staples
KEY,Financials,Financials
KIM,Real_Estate,Financials
KLAC,Information_Technology,Information_Technology
KMB,Consumer_Staples,Consumer_Staples
KMI,Energy,Energy
KMX,Consumer_Discretionary,Consumer_Discretionary
KO,Consumer_Staples,Consumer_Staples
KR,Consumer_Staples,Consumer_Staples
KSS,Consumer_Discretionary,Consumer_Discretionary
KSU,Industrials,Industrials
L,Financials,Financials
LB,Consumer_Discretionary,Consumer_Discretionary
LDOS,Information_Technology,Information_Technology
LEG,Consumer_Discretionary,Consumer_Discretionary
LEN,Consumer_Discretionary,Consumer_Discretionary
LH,Health_Care,Health_Care
LKQ,Consumer_Discretionary,Consumer_Discretionary
LLY,Health_Care,Health_Care
LMT,Industrials,Industrials
LNC,Financials,Financials
LNT,Utilities,Utilities
LOW,Consumer_Discretionary,Consumer_Discretionary
LRCX,Information_Technology,Information_Technology
LUV,Industrials,Industrials
LYB,Materials,Materials
M,Consumer_Discretionary,Consumer_Discretionary
MA,Information_Technology,Information_Technology
MAA,Real_Estate,Financials
MAC,Real_Estate,Financials
MAR,Consumer_Discretionary,Consumer_Discretionary
MAS,Industrials,Industrials
MCD,Consumer_Discretionary,Consumer_Discretionary
MCHP,Information_Technology,Information_Technology
MCK,Health_Care,Health_Care
MCO,Financials,Financials
MDLZ,Consumer_Staples,Consumer_Staples
MDT,Health_Care,Health_Care
MET,Financials,Financials
MHK,Consumer_Discretionary,Consumer_Discretionary
MKC,Consumer_Staples,Consumer_Staples
MKTX,Financials,Financials
MLM,Materials,Materials
MMC,Financials,Financials
MMM,Industrials,Industrials
MNST,Consumer_Staples,Consumer_Staples
MO,Consumer_Staples,Consumer_Staples
MOS,Materials,Materials
MPC,Energy,Energy
MRK,Health_Care,Health_Care
MRO,Energy,Energy
MS,Financials,Financials
MSFT,Information_Technology,Information_Technology
MSI,Information_Technology,Information_Technology
MTB,Financials,Financials
MTD,Health_Care,Health_Care
MU,Information_Technology,Information_Technology
MYL,Health_Care,Health_Care
NBL,Energy,Energy
NDAQ,Financials,Financials
NEE,Utilities,Utilities
NEM,Materials,Materials
NFLX,Communication_Services,Consumer_Discretionary
NI,Utilities,Utilities
NKE,Consumer_Discretionary,Consumer_Discretionary
NLSN,Industrials,Industrials
NOC,Industrials,Industrials
NOV,Energy,Energy
NRG,Utilities,Utilities
NSC,Industrials,Industrials
NTAP,Information_Technology,Information_Technology
NTRS,Financials,Financials
NUE,Materials,Materials
NVDA,Information_Technology,Information_Technology
NVR,Consumer_Discretionary,Consumer_Discretionary
NWL,Consumer_Discretionary,Consumer_Discretionary
NWSA,Communication_Services,Consumer_Discretionary
O,Real_Estate,Financials
OKE,Energy,Utilities
OMC,Communication_Services,Consumer_Discretionary
ORCL,Information_Technology,Information_Technology
ORLY,Consumer_Discretionary,Consumer_Discretionary
OXY,Energy,Energy
PAYX,Information_Technology,Information_Technology
PBCT,Financials,Financials
PCAR,Industrials,Industrials
PEG,Utilities,Utilities
PEP,Consumer_Staples,Consumer_Staples
PFE,Health_Care,Health_Care
PFG,Financials,Financials
PG,Consumer_Staples,Consumer_Staples
PGR,Financials,Financials
PH,Industrials,Industrials
PHM,Consumer_Discretionary,Consumer_Discretionary
PKG,Materials,Materials
PKI,Health_Care,Health_Care
PLD,Real_Estate,Financials
PM,Consumer_Staples,Consumer_Staples
PNC,Financials,Financials
PNR,Industrials,Industrials
PNW,Utilities,Utilities
PPG,Materials,Materials
PPL,Utilities,Utilities
PRGO,Health_Care,Health_Care
PRU,Financials,Financials
PSA,Real_Estate,Financials
PSX,Energy,Energy
PVH,Consumer_Discretionary,Consumer_Discretionary
PWR,Industrials,Industrials
PXD,Energy,Energy
QCOM,Information_Technology,Information_Technology
RE,Financials,Financials
REG,Real_Estate,Financials
REGN,Health_Care,Health_Care
RF,Financials,Financials
RHI,Industrials,Industrials
RJF,Financials,Financials
RL,Consumer_Discretionary,Consumer_Discretionary
RMD,Health_Care,Health_Care
ROK,Industrials,Industrials
ROL,Industrials,Industrials
ROP,Industrials,Industrials
ROST,Consumer_Discretionary,Consumer_Discretionary
RSG,Industrials,Industrials
RTN,Industrials,Industrials
SBUX,Consumer_Discretionary,Consumer_Discretionary
SCHW,Financials,Financials
SEE,Materials,Materials
SHW,Materials,Consumer_Discretionary
SIVB,Financials,Financials
SJM,Consumer_Staples,Consumer_Staples
SLB,Energy,Energy
SLG,Real_Estate,Financials
SNA,Industrials,Industrials
SNPS,Information_Technology,Information_Technology
SO,Utilities,Utilities
SPG,Real_Estate,Financials
SRE,Utilities,Utilities
STI,Financials,Financials
STT,Financials,Financials
STX,Information_Technology,Information_Technology
STZ,Consumer_Staples,Consumer_Staples
SWK,Industrials,Industrials
SWKS,Information_Technology,Information_Technology
SYK,Health_Care,Health_Care
SYY,Consumer_Staples,Consumer_Staples
T,Communication_Services,Telecommunications_Services
TAP,Consumer_Staples,Consumer_Staples
TEL,Information_Technology,Information_Technology
TFX,Health_Care,Health_Care
TGT,Consumer_Discretionary,Consumer_Discretionary
TIF,Consumer_Discretionary,Consumer_Discretionary
TJX,Consumer_Discretionary,Consumer_Discretionary
TMO,Health_Care,Health_Care
TRIP,Communication_Services,Consumer_Discretionary
TROW,Financials,Financials
TRV,Financials,Financials
TSCO,Consumer_Discretionary,Consumer_Discretionary
TSN,Consumer_Staples,Consumer_Staples
TTWO,Communication_Services,Information_Technology
TXN,Information_Technology,Information_Technology
TXT,Industrials,Industrials
UA,Consumer_Discretionary,Consumer_Discretionary
UDR,Real_Estate,Financials
UHS,Health_Care,Health_Care
UNH,Health_Care,Health_Care
UNM,Financials,Financials
UNP,Industrials,Industrials
UPS,Industrials,Industrials
URI,Industrials,Industrials
USB,Financials,Financials
UTX,Industrials,Industrials
VAR,Health_Care,Health_Care
VFC,Consumer_Discretionary,Consumer_Discretionary
VIAB,Communication_Services,Consumer_Discretionary
VLO,Energy,Energy
VMC,Materials,Materials
VNO,Real_Estate,Financials
VRSN,Information_Technology,Information_Technology
VRTX,Health_Care,Health_Care
VTR,Real_Estate,Financials
VZ,Communication_Services,Telecommunications_Services
WAB,Industrials,Industrials
WAT,Health_Care,Health_Care
WCG,Health_Care,Health_Care
WDC,Information_Technology,Information_Technology
WEC,Utilities,Utilities
WFC,Financials,Financials
WHR,Consumer_Discretionary,Consumer_Discretionary
WM,Industrials,Industrials
WMB,Energy,Energy
WMT,Consumer_Staples,Consumer_Staples
WU,Information_Technology,Information_Technology
WY,Real_Estate,Materials
WYNN,Consumer_Discretionary,Consumer_Discretionary
XEC,Energy,Energy
XEL,Utilities,Utilities
XLNX,Information_Technology,Information_Technology
XOM,Energy,Energy
XRAY,Health_Care,Health_Care
XRX,Information_Technology,Information_Technology
XYL,Industrials,Industrials
YUM,Consumer_Discretionary,Consumer_Discretionary
ZION,Financials,Financials
ZTS,Health_Care,Health_Care
